Timestamp,Umur anda? ,Jantina anda? ,Institusi pendidikan MARA yang anda hadiri? ,Bidang pengajian utama anda? ,Tahap pendidikan tertinggi anda? ,Tahun graduasi anda? ,Pendapatan isi rumah bulanan keluarga anda?,Pekerjaan bapa anda,Pekerjaan ibu anda?,Bagaimana anda membiayai pendidikan anda?,Adakah jenis pembiayaan ini memberi kelebihan dalam mencari kerja?,"Jika anda mempunyai pinjaman pendidikan, adakah beban hutang mempengaruhi pilihan kerjaya anda?",Adakah anda kini bekerja?,"Jika bekerja, berapa lama selepas tamat pengajian anda mendapat pekerjaan pertama?",Apakah jenis pekerjaan anda sekarang,Apakah faktor utama yang membantu anda mendapat pekerjaan tersebut?,Apakah sebab utama jika anda tidak bekerja dalam bidang pengajian?,"Jika anda bekerja di luar bidang pengajian, adakah pekerjaan tersebut masih memerlukan kemahiran akademik anda?",Apakah status pekerjaan anda sekarang?,Apakah sektor pekerjaan anda?,Apakah industri pekerjaan anda sekarang?,Apakah jangkaan gaji permulaan yang anda anggap sesuai dengan kelulusan anda?,Berapakah julat gaji bulanan anda sekarang?,Adakah gaji anda bersesuaian dengan kelulusan anda?,Sejauh mana latihan industri/praktikal mempengaruhi kebolehpasaran anda?,Sejauh mana kemahiran komunikasi  mempengaruhi kebolehpasaran anda?,Sejauh mana kemahiran teknikal mempengaruhi kebolehpasaran anda?,Sejauh mana rangkaian peribadi (networking) mempengaruhi kebolehpasaran anda?,Sejauh mana kelayakan akademik mempengaruhi kebolehpasaran anda?,Adakah anda memiliki sijil profesional tambahan selain ijazah/diploma?,Adakah sijil profesional ini membantu anda dalam mendapatkan pekerjaan?,Adakah majikan anda meminta kelayakan tambahan selain daripada ijazah anda?,Kemahiran tambahan manakah yang paling banyak diminta oleh majikan semasa temu duga? ,Sejauh mana anda bersetuju bahawa universiti telah menyediakan anda untuk pasaran kerja?,Apakah cabaran utama yang anda hadapi dalam mendapatkan pekerjaan?,Adakah anda menjalani internship/praktikal sebelum tamat pengajian?,Bagaimana internship membantu anda dalam mendapatkan pekerjaan?,"Jika tidak menjalani internship, apakah sebab utama?",Apakah bentuk pekerjaan bebas yang anda ceburi sekarang atau bercadang untuk ceburi dalam masa terdekat?,Adakah universiti anda menawarkan kursus atau latihan berkaitan keusahawanan?,"Adakah universiti anda pernah menganjurkan program berkaitan perniagaan atau ekonomi gig seperti hackathon, bootcamp, atau geran permulaan perniagaan?",Adakah program berkaitan perniagaan atau ekonomi gig di universiti membantu anda dalam memulakan atau mengembangkan pekerjaan bebas anda?,Apakah sebab utama anda memilih untuk bekerja dalam ekonomi gig? ,Bagaimanakah anda memperoleh kemahiran untuk bekerja dalam ekonomi gig?,Apakah cabaran utama yang anda hadapi dalam keusahawanan atau ekonomi gig?,Apakah bantuan atau sokongan yang anda rasa perlu untuk berjaya dalam keusahawanan dan ekonomi gig?,Berapakah purata pendapatan bulan anda daripada ekonomi gig?,"Jika diberikan peluang pekerjaan tetap dengan gaji setanding ekonomi gig, adakah anda akan menerimanya?"
3/6/2025 11:10:42,25-29 tahun,Lelaki,"Universiti Poly-Tech Malaysia (UPTM), Kolej Poly-Tech MARA",Sains Komputer & Kecerdasan Buatan,Ijazah Sarjana Muda,2022,"RM4,850 – RM10,959",Sektor Swasta,Sektor Swasta,Pinjaman pendidikan,"Ya, saya mendapat lebih banyak peluang kerana biasiswa/pinjaman","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Lebih dari 1 tahun,Bekerja di luar bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat)",Tiada peluang pekerjaan yang sesuai,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja kontrak,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Logistik, Pengangkutan & Rantaian Bekalan","RM2,000 - RM2,999","RM1,500 - RM2,999","Ya, gaji saya setanding dengan kelulusan saya",4,4,4,4,4,"Ya, contoh: ACCA, CFA, PMP, Cisco, Google Certification","Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Kemahiran penulisan profesional, Pemikiran kritis dan penyelesaian masalah, Kepimpinan dan pengurusan projek, Kemahiran bekerja dalam pasukan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace)",5,"Tiada pengalaman kerja yang mencukupi, Terlalu banyak persaingan dalam bidang saya, Kekurangan kemahiran yang dicari majikan, Gaji yang ditawarkan terlalu rendah, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman","Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat), Ekonomi Gig: Freelancing digital (design, copywriting, programming, social media marketing)","Ya, dan ia sangat membantu.","Ya, dan saya pernah menyertai.","Ya, program tersebut memberi kesan positif dan membantu saya berkembang.","Mahu kebebasan dan fleksibiliti bekerja sendiri., Pendapatan dalam ekonomi gig lebih tinggi daripada pekerjaan tetap., Tidak mahu terikat dengan kerja pejabat 9-5.","Belajar sendiri melalui internet (YouTube, blog, forum)., Mengikuti kursus atau latihan khusus (online atau offline).",Persaingan tinggi dalam industri gig.,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital).","RM3,000 - RM4,999","Tidak, saya lebih suka bekerja dalam ekonomi gig atau berniaga."
3/6/2025 11:19:10,25-29 tahun,Perempuan,Universiti Poly-Tech Malaysia (UPTM),"Komunikasi, Media & Hubungan Antarabangsa",Ijazah Sarjana Muda,2021,"Kurang daripada RM4,850",Tidak bekerja,Tidak bekerja,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja di luar bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat)","Tiada peluang pekerjaan yang sesuai, Gaji terlalu rendah dalam bidang asal","Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM3,000 - RM4,999","RM3,000 - RM4,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",4,5,4,4,4,Tidak,Tidak memberi kesan,"Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Kemahiran pembentangan, Pemikiran kritis dan penyelesaian masalah, Kepimpinan dan pengurusan projek, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace), Kemahiran perundingan dan diplomasi",5,"Terlalu banyak persaingan dalam bidang saya, Gaji yang ditawarkan terlalu rendah, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Keadaan ekonomi semasa menyukarkan peluang pekerjaan","Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,"Ekonomi Gig: Freelancing digital (design, copywriting, programming, social media marketing), Ekonomi Gig: Pendidikan & konsultasi (tutor online, coaching, kursus digital)","Ya, dan ia sangat membantu.","Ya, tetapi saya tidak menyertainya.",Saya tidak pernah menyertai mana-mana program berkaitan keusahawanan di universiti.,Menjadikan ekonomi gig sebagai sumber pendapatan tambahan.,"Belajar sendiri melalui internet (YouTube, blog, forum).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig., Pinjaman atau geran untuk membangunkan perniagaan gig., Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/6/2025 11:39:21,25-29 tahun,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Sains Komputer & Kecerdasan Buatan,Ijazah Sarjana Muda,2022,"Kurang daripada RM4,850",Tidak bekerja,Tidak bekerja,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",Lebih dari 1 tahun,Bekerja dalam bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat), Rangkaian peribadi / kenalan (pensyarah, alumni, keluarga, rakan)","Tiada peluang pekerjaan yang sesuai, Gaji terlalu rendah dalam bidang asal",Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM2,000 - RM2,999","RM1,500 - RM2,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",4,5,3,4,4,"Ya, contoh: ACCA, CFA, PMP, Cisco, Google Certification","Ya, tetapi bukan faktor utama","Ya, kemahiran teknikal tertentu (contoh: Python, Data Analytics)","Kemahiran komunikasi, Penggunaan perisian pejabat (Microsoft Office, Google Workspace)",4,"Kekurangan kemahiran yang dicari majikan, Gaji yang ditawarkan terlalu rendah, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya, Proses permohonan kerja terlalu kompleks atau mengambil masa yang lama","Ya, di sektor swasta",Tidak memberi impak dalam mendapatkan pekerjaan.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,Tidak pasti.,"Ya, dan saya pernah menyertai.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Pinjaman atau geran untuk membangunkan perniagaan gig.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/6/2025 12:01:54,25-29 tahun,Lelaki,Universiti Poly-Tech Malaysia (UPTM),Sains Komputer & Kecerdasan Buatan,Ijazah Sarjana Muda,2023,"RM4,850 – RM10,959",Tidak bekerja,Sektor Awam,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,"Melalui latihan industri / praktikal, Tawaran daripada syarikat sebelum tamat pengajian","Tiada peluang pekerjaan yang sesuai, Gaji terlalu rendah dalam bidang asal","Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM3,000 - RM4,999","RM3,000 - RM4,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",5,5,5,5,5,Tidak,"Ya, ia menjadi faktor utama saya diterima bekerja","Ya, kemahiran teknikal tertentu (contoh: Python, Data Analytics)","Kemahiran komunikasi, Kemahiran pembentangan, Pemikiran kritis dan penyelesaian masalah, Kepimpinan dan pengurusan projek, Kemahiran pengaturcaraan (Python, SQL, Java), Keupayaan membuat keputusan berdasarkan data",5,"Tiada pengalaman kerja yang mencukupi, Terlalu banyak persaingan dalam bidang saya, Kekurangan kemahiran yang dicari majikan, Gaji yang ditawarkan terlalu rendah, Kriteria pekerjaan tidak sesuai dengan kelayakan akademik saya, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya, Keadaan ekonomi semasa menyukarkan peluang pekerjaan","Ya, di sektor swasta",Saya mendapat tawaran kerja secara langsung daripada syarikat internship.,Tidak diwajibkan oleh program pengajian.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat), Ekonomi Gig: Freelancing digital (design, copywriting, programming, social media marketing), Ekonomi Gig: E-commerce & dropshipping (Shopee, Lazada, TikTok Shop), Ekonomi Gig: Pendidikan & konsultasi (tutor online, coaching, kursus digital)","Ya, dan ia sangat membantu.","Tidak, saya tidak pernah dengar tentang program seperti ini.","Ya, tetapi hanya sedikit membantu.","Mahu kebebasan dan fleksibiliti bekerja sendiri., Tidak mahu terikat dengan kerja pejabat 9-5., Menjadikan ekonomi gig sebagai sumber pendapatan tambahan., Tidak pasti, hanya mencuba dahulu.","Belajar sendiri melalui internet (YouTube, blog, forum)., Mengikuti kursus atau latihan khusus (online atau offline)., Rakan/keluarga mengajar atau berkongsi pengalaman., Kursus atau bimbingan dari universiti.","Ketidakstabilan pendapatan (pendapatan tidak tetap setiap bulan)., Tiada jaminan pekerjaan dan manfaat seperti KWSP/PERKESO., Kurang ilmu tentang pemasaran dan pengurusan kewangan., Kurang latihan atau bimbingan dalam bidang ini.","Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Ya, saya lebih suka pekerjaan tetap."
3/6/2025 12:11:35,25-29 tahun,Lelaki,"Universiti Poly-Tech Malaysia (UPTM), Kolej Poly-Tech MARA",Information Security,Ijazah Sarjana Muda,2020,"Kurang daripada RM4,850",Tidak bekerja,Tidak bekerja,Dibiayai sendiri,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Lebih dari 1 tahun,Bekerja dalam bidang pengajian,"Melalui latihan industri / praktikal, Dihubungi oleh perekrut atau headhunter",Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM3,000 - RM4,999","RM3,000 - RM4,999",Tidak pasti,4,4,4,5,4,"Ya, contoh: ACCA, CFA, PMP, Cisco, Google Certification","Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Kemahiran pembentangan",3,"Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman","Ya, di sektor swasta",Saya mendapat tawaran kerja secara langsung daripada syarikat internship.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,Tidak pasti.,"Tidak, saya tidak pernah dengar tentang program seperti ini.",Saya tidak pernah menyertai mana-mana program berkaitan keusahawanan di universiti.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/6/2025 12:15:33,25-29 tahun,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Sains Komputer & Kecerdasan Buatan,Ijazah Sarjana Muda,2023,"RM4,850 – RM10,959",Sektor Swasta,Sektor Swasta,Pinjaman pendidikan,Tidak pasti,"Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,Melalui latihan industri / praktikal,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM3,000 - RM4,999","RM3,000 - RM4,999",Tidak pasti,5,5,4,5,5,Tidak,"Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Kemahiran penulisan profesional, Pemikiran kritis dan penyelesaian masalah, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Analisis data dan penyelidikan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace), Kecekapan dalam perisian industri (AutoCAD, Adobe Photoshop, QuickBooks), Keupayaan membuat keputusan berdasarkan data",3,"Tiada pengalaman kerja yang mencukupi, Kekurangan kemahiran yang dicari majikan","Ya, di sektor swasta",Saya mendapat tawaran kerja secara langsung daripada syarikat internship.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,"Ya, tetapi saya tidak rasa ia cukup relevan.","Tidak, saya tidak pernah dengar tentang program seperti ini.",Saya tidak pernah menyertai mana-mana program berkaitan keusahawanan di universiti.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig., Pinjaman atau geran untuk membangunkan perniagaan gig., Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/6/2025 15:06:31,25-29 tahun,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pendidikan & Latihan,Ijazah Sarjana Muda,2022,"RM4,850 – RM10,959",Sektor Swasta,Sektor Swasta,Pinjaman pendidikan,Tidak pasti,"Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",3 - 6 bulan,Bekerja di luar bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat), Melalui pameran kerjaya atau job fair, Dihubungi oleh perekrut atau headhunter",Lebih banyak peluang dalam bidang lain,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Jualan, Pemasaran & Pengiklanan","RM3,000 - RM4,999","RM1,500 - RM2,999","Ya, gaji saya setanding dengan kelulusan saya",3,3,3,3,3,Tidak,Tidak memberi kesan,"Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Kemahiran pembentangan, Kemahiran bekerja dalam pasukan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace), Keupayaan membuat keputusan berdasarkan data",4,"Gaji yang ditawarkan terlalu rendah, Saya tidak tahu bagaimana mencari pekerjaan yang sesuai, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Proses permohonan kerja terlalu kompleks atau mengambil masa yang lama","Ya, di sektor awam",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,Tidak pasti.,"Ya, tetapi saya tidak menyertainya.",Saya tidak pernah menyertai mana-mana program berkaitan keusahawanan di universiti.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/6/2025 15:21:06,25-29 tahun,Lelaki,Universiti Poly-Tech Malaysia (UPTM),Pendidikan & Latihan,Ijazah Sarjana Muda,2022,"Kurang daripada RM4,850",Sektor Awam,Tidak bekerja,Pinjaman pendidikan,"Ya, saya mendapat lebih banyak peluang kerana biasiswa/pinjaman","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",3 - 6 bulan,Bekerja dalam bidang pengajian,"Melalui latihan industri / praktikal, Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat), Rangkaian peribadi / kenalan (pensyarah, alumni, keluarga, rakan), Dihubungi oleh perekrut atau headhunter","Gaji terlalu rendah dalam bidang asal, Lebih banyak peluang dalam bidang lain, Tidak berminat dengan bidang asal, Tidak berkaitan kerana saya bekerja dalam bidang pengajian","Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja tetap,"Sektor Awam (Kerajaan, Agensi Kerajaan, GLC)",Pendidikan & Latihan,"RM3,000 - RM4,999","RM3,000 - RM4,999","Ya, gaji saya setanding dengan kelulusan saya",5,5,5,5,5,Tidak,Tidak memberi kesan,"Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Kemahiran pembentangan, Kemahiran penulisan profesional, Pemikiran kritis dan penyelesaian masalah, Kepimpinan dan pengurusan projek, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Analisis data dan penyelidikan, Pemasaran digital dan media sosial, Penggunaan perisian pejabat (Microsoft Office, Google Workspace), Keusahawanan dan pengurusan perniagaan, Kemahiran perundingan dan diplomasi, Keupayaan membuat keputusan berdasarkan data",5,"Tiada pengalaman kerja yang mencukupi, Terlalu banyak persaingan dalam bidang saya, Gaji yang ditawarkan terlalu rendah, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya, Saya perlu menjaga keluarga dan sukar untuk bekerja di luar kawasan, Proses permohonan kerja terlalu kompleks atau mengambil masa yang lama, Keadaan ekonomi semasa menyukarkan peluang pekerjaan","Ya, di sektor awam",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat), Ekonomi Gig: Freelancing digital (design, copywriting, programming, social media marketing), Ekonomi Gig: Pendidikan & konsultasi (tutor online, coaching, kursus digital), Ekonomi Gig: Pembuatan kandungan (YouTube, TikTok, streaming)","Ya, dan ia sangat membantu.","Tidak, saya tidak pernah dengar tentang program seperti ini.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Perlindungan sosial (KWSP, PERKESO, insurans).","RM1,000 - RM2,999",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/6/2025 15:48:57,20-24 tahun,Lelaki,Universiti Poly-Tech Malaysia (UPTM),"Komunikasi, Media & Hubungan Antarabangsa",Diploma,2021,"Kurang daripada RM4,850",Tidak bekerja,Tidak bekerja,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja separuh masa",7 - 12 bulan,Bekerja di luar bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat)",Tiada peluang pekerjaan yang sesuai,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja kontrak,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM2,000 - RM2,999","RM1,500 - RM2,999",Tidak pasti,3,5,4,5,5,Tidak,"Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Kemahiran pembentangan, Kemahiran penulisan profesional, Pemikiran kritis dan penyelesaian masalah, Kepimpinan dan pengurusan projek, Pengurusan masa dan multitasking, Penggunaan perisian pejabat (Microsoft Office, Google Workspace), Keusahawanan dan pengurusan perniagaan, Kemahiran perundingan dan diplomasi",3,"Tiada pengalaman kerja yang mencukupi, Terlalu banyak persaingan dalam bidang saya, Gaji yang ditawarkan terlalu rendah, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya","Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,"Ekonomi Gig: Freelancing digital (design, copywriting, programming, social media marketing)",Tidak pasti.,"Tidak, saya tidak pernah dengar tentang program seperti ini.",Saya tidak pernah menyertai mana-mana program berkaitan keusahawanan di universiti.,Sukar mendapatkan pekerjaan tetap dalam bidang saya.,"Belajar sendiri melalui internet (YouTube, blog, forum)., Pengalaman kerja sebelum ini dalam bidang yang sama.","Sukar mendapat pelanggan atau kerja tetap., Persaingan tinggi dalam industri gig.","Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig., Pinjaman atau geran untuk membangunkan perniagaan gig.","RM1,000 - RM2,999","Ya, saya lebih suka pekerjaan tetap."
3/6/2025 15:55:32,25-29 tahun,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pengurusan Perniagaan & Keusahawanan,Ijazah Sarjana Muda,2023,"Kurang daripada RM4,850",Sektor Swasta,Sektor Swasta,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan",Tidak pasti,"Ya, bekerja sepenuh masa",3 - 6 bulan,Bekerja di luar bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat)",Tiada peluang pekerjaan yang sesuai,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja kontrak,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Kewangan, Perbankan & Insurans","RM3,000 - RM4,999","RM1,500 - RM2,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",3,3,3,3,2,Tidak,"Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kepimpinan dan pengurusan projek, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace)",3,"Tiada pengalaman kerja yang mencukupi, Terlalu banyak persaingan dalam bidang saya, Kekurangan kemahiran yang dicari majikan, Gaji yang ditawarkan terlalu rendah, Saya tidak tahu bagaimana mencari pekerjaan yang sesuai, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kriteria pekerjaan tidak sesuai dengan kelayakan akademik saya, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman","Ya, di sektor swasta",Tidak memberi impak dalam mendapatkan pekerjaan.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,Tidak pasti.,"Tidak, saya tidak pernah dengar tentang program seperti ini.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Tidak pasti, bergantung kepada faedah dan fleksibiliti kerja tetap itu."
